58912    116.73     25.72     58912    福建    连城
58917    116.10     25.08     58917    福建    武平
58918    116.43     25.07     58918    福建    上杭
58921    117.37     25.95     58921    福建    永安
58923    117.83     25.70     58923    福建    大田
58926    117.43     25.27     58926    福建    漳平
58927    117.02     25.05     58927    福建    龙岩
58928    117.53     25.02     58928    福建    华安
58929    118.20     25.07     58929    福建    安溪
58932    118.93     25.87     58932    福建    永泰
58933    118.98     26.92     58933    福建    屏南
58934    118.27     25.33     58934    福建    永春
58935    118.23     25.52     58935    福建    德化
58936    118.75     25.37     58936    福建    仙游
58938    119.10     25.27     58938    福建    秀屿
58941    119.50     25.97     58941    福建    长乐
58942    119.38     25.67     58942    福建    福清
58944    119.78     25.50     58944    福建    平潭
58946    119.00     25.45     58946    福建    莆田
59113    116.72     24.73     59113    福建    永定
59122    117.75     24.62     59122    福建    长泰
59124    117.38     24.52     59124    福建    南靖
59125    117.30     24.38     59125    福建    平和
59126    117.63     24.58     59126    福建    漳州
59127    117.83     24.43     59127    福建    龙海
59129    117.58     24.13     59129    福建    漳浦
59130    118.18     24.77     59130    福建    同安
59131    118.37     24.97     59131    福建    南安
59132    118.63     24.90     59132    福建    泉州
59133    118.92     24.88     59133    福建    崇武
59134    118.08     24.48     59134    福建    厦门
59137    118.55     24.80     59137    福建    晋江
59320    117.13     23.75     59320    福建    诏安
59321    117.52     23.73     59321    福建    东山
59322    117.33     23.95     59322    福建    云霄
52418    94.68     40.15     52418    甘肃    敦煌
52424    95.78     40.53     52424    甘肃    瓜州
52436    97.03     40.27     52436    甘肃    玉门
52447    98.88     40.00     52447    甘肃    金塔
52515    94.87     39.52     52515    甘肃    肃北
52533    98.48     39.77     52533    甘肃    酒泉
52546    99.83     39.37     52546    甘肃    高台
52557    100.18     39.13     52557    甘肃    临泽
52643    99.62     38.83     52643    甘肃    肃南
52652    100.28     39.08     52652    甘肃    张掖
52656    100.82     38.43     52656    甘肃    民乐
52661    101.08     38.80     52661    甘肃    山丹
52674    101.97     38.23     52674    甘肃    永昌
52675    102.17     38.53     52675    甘肃    金昌
52679    102.67     37.92     872631    甘肃    武威
52681    103.08     38.63     52681    甘肃    民勤
52784    102.90     37.47     52784    甘肃    古浪
52797    104.05     37.18     52797    甘肃    景泰
52881    103.18     36.98     872553    甘肃    天祝
52884    103.95     36.35     52884    甘肃    皋兰
52885    103.25     36.75     52885    甘肃    永登
52896    104.15     36.55     52896    甘肃    白银
52889    103.88     36.05     52889    甘肃    兰州
52895    104.68     36.57     52895    甘肃    靖远
52978    102.50     35.18     52978    甘肃    夏河
52980    103.30     35.97     52980    甘肃    永靖
52981    103.38     35.68     52981    甘肃    东乡
52982    103.55     35.48     52982    甘肃    广河
52983    104.15     35.87     52983    甘肃    榆中
52984    103.18     35.58     52984    甘肃    临夏
52985    103.33     35.42     52985    甘肃    和政
52986    103.87     35.37     52986    甘肃    临洮
52988    103.72     35.37     52988    甘肃    康乐
52993    105.07     35.68     52993    甘肃    会宁
52995    104.60     35.58     52995    甘肃    安定
52998    104.20     35.13     52998    甘肃    渭源
53821    107.30     36.57     53821    甘肃    环县
53829    107.90     35.98     53829    甘肃    庆城
53906    105.70     35.52     53906    甘肃    静宁
53908    105.23     35.22     53908    甘肃    通渭
53915    106.65     35.52     53915    甘肃    崆峒
53917    106.07     35.22     53917    甘肃    庄浪
53923    107.63     35.73     53923    甘肃    西峰
53924    107.62     35.07     53924    甘肃    灵台
53925    107.20     35.72     53925    甘肃    镇原
53926    107.35     35.33     53926    甘肃    泾川
53927    106.62     35.20     53927    甘肃    华亭
53928    107.02     35.30     53928    甘肃    崇信
53930    107.98     36.45     53930    甘肃    华池
53934    107.98     35.78     53934    甘肃    合水
53935    108.40     35.48     53935    甘肃    正宁
53937    107.88     35.53     53937    甘肃    宁县
56071    102.50     34.60     56071    甘肃    碌曲
56074    102.08     34.00     56074    甘肃    玛曲
56080    102.90     35.00     56080    甘肃    合作
56081    103.35     34.70     56081    甘肃    临潭
56082    103.50     34.58     56082    甘肃    卓尼
56084    103.20     34.07     56084    甘肃    迭部
56091    104.47     34.83     56091    甘肃    漳县
56092    104.65     35.00     56092    甘肃    陇西
56093    104.02     34.43     56093    甘肃    岷县
56094    104.37     33.78     56094    甘肃    舟曲
56095    104.38     34.03     56095    甘肃    宕昌
56096    104.92     33.40     56096    甘肃    武都
56192    104.67     32.95     56192    甘肃    文县
