661785    115.80    39.27     661785    河北        
661827    114.86    39.35     661827    河北        
661835    114.43    39.25     661835    河北        
661844    115.29    39.39     661844    河北        
661850    114.95    39.23     661850    河北        
661853    115.14    39.29     661853    河北        
661854    115.13    39.08     661854    河北        
661867    115.70    39.39     661867    河北        
661902    115.25    39.14     661902    河北        
661911    115.46    39.12     661911    河北        
661914    114.14    38.71     661914    河北        
662025    116.14    37.49     662025    河北        
662031    115.88    37.45     662031    河北        
662070    115.42    37.68     662070    河北        
662086    115.92    37.56     662086    河北        
662090    116.11    37.66     662090    河北        
662105    116.02    37.92     662105    河北        
662124    116.36    37.98     662124    河北        
662143    115.70    38.05     662143    河北        
662326    116.93    38.50     662326    河北        
662329    116.95    38.30     662329    河北        
662382    116.82    38.12     662382    河北        
662427    117.42    37.93     662427    河北        
662428    117.13    37.86     662428    河北        
662442    116.14    38.03     662442    河北        
662482    115.99    38.18     662482    河北        
662484    116.19    38.33     662484    河北        
662485    116.37    38.32     662485    河北        
662499    117.16    38.45     662499    河北        
662502    117.48    38.30     662502    河北        
662510    117.30    38.19     662510    河北        
662522    116.39    38.54     662522    河北        
662540    116.21    38.59     662540    河北        
662570    117.03    38.59     662570    河北        
662586    116.04    38.61     662586    河北        
662587    116.30    38.71     662587    河北        
662602    117.51    38.44     662602    河北        
662706    116.77    39.30     662706    河北        
662707    116.84    39.18     662707    河北        
662730    116.59    38.51     662730    河北        
662732    116.48    39.50     662732    河北        
662750    116.32    38.95     662750    河北        
662754    114.36    41.41     662754    河北        
662766    116.53    39.05     662766    河北        
662786    116.65    39.21     662786    河北        
662818    116.23    39.24     662818    河北        
662925    114.09    40.83     662925    河北        
662928    114.87    40.11     662928    河北        
662944    114.35    40.52     662944    河北        
662954    115.74    40.22     662954    河北        
662980    114.51    40.07     662980    河北        
662989    115.56    41.30     662989    河北        
662990    115.91    41.30     662990    河北        
662995    115.22    40.68     662995    河北        
662997    114.84    40.50     662997    河北        
663024    114.85    39.88     663024    河北        
663028    114.30    39.91     663028    河北        
663037    114.68    40.06     663037    河北        
663041    114.01    40.05     663041    河北        
663050    114.61    40.29     663050    河北        
663052    114.35    40.09     663052    河北        
663055    114.59    39.63     663055    河北        
663057    114.79    39.62     663057    河北        
663063    115.10    40.11     663063    河北        
663066    115.31    40.15     663066    河北        
663070    115.15    40.24     663070    河北        
663105    114.85    40.26     663105    河北        
663116    115.14    39.72     663116    河北        
663124    114.53    40.53     663124    河北        
663134    114.95    40.93     663134    河北        
663178    115.73    40.67     663178    河北        
663181    115.24    41.15     663181    河北        
663203    114.32    40.80     663203    河北        
663204    114.07    41.42     663204    河北        
663222    114.68    41.40     663222    河北        
663225    114.93    41.39     663225    河北        
663235    115.28    41.39     663235    河北        
663241    114.99    41.56     663241    河北        
663245    115.89    41.76     663245    河北        
663246    115.32    41.54     663246    河北        
663248    115.88    41.52     663248    河北        
663261    114.59    41.99     663261    河北        
663270    114.74    41.98     663270    河北        
663273    114.68    41.67     663273    河北        
663274    114.46    41.66     663274    河北        
663276    114.75    42.07     663276    河北        
663296    115.50    40.67     663296    河北        
663315    115.17    40.52     663315    河北        
663319    115.56    41.07     663319    河北        
663320    115.89    41.11     663320    河北        
663321    116.12    41.30     663321    河北        
663325    115.53    40.90     663325    河北        
663349    114.66    40.96     663349    河北        
663356    114.03    41.23     663356    河北        
663380    117.73    40.73     663380    河北        
663386    117.90    40.69     663386    河北        
663393    118.26    40.66     663393    河北        
663398    118.34    41.09     663398    河北        
663401    118.01    40.60     663401    河北        
663410    117.74    40.47     663410    河北        
663434    118.80    40.63     663434    河北        
663439    118.04    41.31     663439    河北        
663455    117.46    40.69     663455    河北        
663459    117.71    41.15     663459    河北        
663462    118.64    41.23     663462    河北        
663463    119.19    41.26     663463    河北        
663470    118.88    40.99     663470    河北        
663471    118.82    40.87     663471    河北        
663477    118.53    41.10     663477    河北        
663481    116.55    41.88     663481    河北        
663482    116.32    41.80     663482    河北        
663484    116.83    41.65     663484    河北        
663485    116.34    41.96     663485    河北        
663490    116.48    41.27     663490    河北        
663494    116.55    41.66     663494    河北        
663502    117.44    41.59     663502    河北        
663514    118.12    41.52     663514    河北        
663518    117.37    41.23     663518    河北        
663521    117.25    42.40     663521    河北        
663525    117.34    42.06     663525    河北        
663526    117.95    42.05     663526    河北        
663529    117.82    41.80     663529    河北        
663530    118.00    41.77     663530    河北        
663535    117.56    42.06     663535    河北        
663542    116.97    42.14     663542    河北        
663545    117.60    42.50     663545    河北        
663546    117.08    42.27     663546    河北        
663553    116.76    41.26     663553    河北        
663555    117.19    41.38     663555    河北        
663556    117.04    41.24     663556    河北        
663562    117.21    41.66     663562    河北        
663570    118.22    42.02     663570    河北        
663576    117.93    42.42     663576    河北        
663580    117.23    41.88     663580    河北        
663582    116.88    41.88     663582    河北        
663585    117.96    41.12     663585    河北        
663593    117.71    40.97     663593    河北        
663597    116.83    41.47     663597    河北        
663608    119.35    39.73     663608    河北        
663610    119.72    39.99     663610    河北        
663639    118.68    40.50     663639    河北        
663644    118.88    39.64     663644    河北        
663652    119.08    39.53     663652    河北        
663663    119.06    40.04     663663    河北        
663697    119.47    40.43     663697    河北        
663701    118.97    40.20     663701    河北        
663722    119.43    40.24     663722    河北        
663730    118.24    40.89     663730    河北        
663749    118.45    39.71     663749    河北        
663754    118.08    40.03     663754    河北        
663759    117.76    40.21     663759    河北        
663761    118.01    39.47     663761    河北        
663768    118.34    39.43     663768    河北        
663769    118.35    39.58     663769    河北        
663773    118.20    39.47     663773    河北        
663782    118.26    39.98     663782    河北        
663783    118.22    39.85     663783    河北        
663797    117.12    39.83     663797    河北        
663807    118.34    39.21     663807    河北        
663820    118.44    39.85     663820    河北        
663827    118.81    39.29     663827    河北        
663842    118.77    39.51     663842    河北        
663856    118.42    39.98     663856    河北        
663859    117.54    39.90     663859    河北        
663866    118.55    39.64     663866    河北        
663886    117.86    39.75     663886    河北        
663892    117.67    39.65     663892    河北        
663907    118.86    40.09     663907    河北        
663925    118.53    40.24     663925    河北        
663947    117.79    40.05     663947    河北        
663976    118.23    39.70     663976    河北        
53589     113.53    39.05     53589     山西        
665035    113.93    40.30     665035    山西        
665046    113.73    40.14     665046    山西        
665068    112.77    39.88     665068    山西        
665070    112.70    40.16     665070    山西        
665071    112.62    39.83     665071    山西        
665103    113.15    40.26     665103    山西        
665110    112.98    40.10     665110    山西        
665121    113.58    40.17     665121    山西        
665129    113.46    39.93     665129    山西        
665169    113.80    39.80     665169    山西        
665192    114.05    39.81     665192    山西        
665211    114.43    39.54     665211    山西        
665219    113.97    39.33     665219    山西        
665221    114.19    39.19     665221    山西        
665248    112.31    40.11     665248    山西        
665254    112.31    40.25     665254    山西        
665258    112.21    39.99     665258    山西        
665282    113.07    39.90     665282    山西        
665302    112.11    39.30     665302    山西        
665349    112.98    39.36     665349    山西        
665350    112.85    39.31     665350    山西        
665351    112.61    39.67     665351    山西        
665373    113.02    39.60     665373    山西        
665398    112.08    39.46     665398    山西        
665408    112.18    39.76     665408    山西        
665444    111.65    39.46     665444    山西        
665479    111.28    39.14     665479    山西        
665485    113.58    39.22     665485    山西        
665513    111.85    39.11     665513    山西        
665518    111.96    39.32     665518    山西        
665576    113.02    39.10     665576    山西        
665666    111.51    38.90     665666    山西        
665667    111.32    38.84     665667    山西        
665668    111.51    38.60     665668    山西        
665690    111.73    38.62     665690    山西        
665702    112.52    38.99     665702    山西        
665703    112.42    38.89     665703    山西        
665728    113.23    38.59     665728    山西        
665744    113.22    38.78     665744    山西        
665754    112.87    38.39     665754    山西        
665755    112.47    38.38     665755    山西        
665770    112.46    38.63     665770    山西        
665813    111.98    38.48     665813    山西        
665818    112.19    38.32     665818    山西        
666004    111.06    38.31     666004    山西        
666011    110.98    38.49     666011    山西        
666016    110.91    38.24     666016    山西        
666022    111.29    38.50     666022    山西        
666040    111.71    38.41     666040    山西        
666042    111.48    38.29     666042    山西        
666071    110.83    37.98     666071    山西        
666072    111.15    38.02     666072    山西        
666080    110.78    37.64     666080    山西        
666084    111.05    38.13     666084    山西        
666093    111.43    38.08     666093    山西        
666122    111.45    37.63     666122    山西        
666130    111.30    37.56     666130    山西        
666137    111.94    37.64     666137    山西        
666139    110.96    37.61     666139    山西        
666202    112.21    37.36     666202    山西        
666242    111.23    37.17     666242    山西        
666243    111.31    37.28     666243    山西        
666253    110.99    37.12     666253    山西        
666279    111.74    37.39     666279    山西        
666372    111.32    36.81     666372    山西        
666378    111.48    36.96     666378    山西        
666414    111.56    37.95     666414    山西        
666423    112.99    38.13     666423    山西        
666464    112.74    37.88     666464    山西        
666477    111.94    38.04     666477    山西        
666544    112.96    37.91     666544    山西        
666549    113.20    37.75     666549    山西        
666565    113.26    37.60     666565    山西        
666603    113.50    37.50     666603    山西        
666613    113.87    37.51     666613    山西        
666620    113.47    37.64     666620    山西        
666664    112.84    37.44     666664    山西        
666751    111.93    36.90     666751    山西        
666781    112.78    37.11     666781    山西        
666788    112.95    36.93     666788    山西        
666822    113.53    36.98     666822    山西        
666639    113.21    37.22     666639    山西        
666842    111.59    36.74     666842    山西        
666887    113.78    37.88     666887    山西        
666889    113.35    37.91     666889    山西        
666891    113.25    38.11     666891    山西        
666892    113.73    38.05     666892    山西        
666948    113.60    38.13     666948    山西        
