55493	220518
55578	220626
55593	220610
55597	220626
55598	220521
55664	220627
55680	220616
55696	220628
56038	220531
56097	220509
56106	220604
56109	220519
56116	220518
56128	220515
56137	220515
56144	220518
56146	220518
56147	220515
56152	220531
56158	220520
56164	220531
56167	220514
56168	220514
56171	220527
56172	220527
56173	220526
56178	220514
56181	220430
56182	220430
56183	220623
56185	220430
56186	220508
56187	220428
56188	220509
56189	220428
56190	220428
56193	220428
56194	220508
56195	220428
56196	220428
56197	220428
56198	220428
56199	220514
56202	220518
56223	220612
56228	220630
56247	220611
56251	220514
56257	220521
56263	220514
56267	220522
56272	220428
56276	220430
56279	220501
56280	220425
56281	220428
56284	220509
56285	220428
56286	220509
56287	220430
56288	220430
56289	220430
56290	220428
56291	220428
56295	220428
56296	220428
56297	220428
56298	220430
56307	220627
56312	220609
56331	220608
56342	220615
56357	220512
56371	220519
56373	220428
56374	220515
56376	220623
56378	220509
56380	220428
56381	220430
56382	220428
56383	220430
56384	220430
56385	220428
56386	220428
56389	220428
56390	220430
56391	220430
56393	220424
56394	220424
56395	220424
56396	220509
56399	220501
56441	220609
56443	220607
56459	220510
56462	220515
56473	220511
56474	220525
56475	220528
56478	220423
56479	220423
56483	220607
56487	220509
56489	220509
56491	220430
56492	220501
56493	220501
56494	220501
56497	220509
56543	220505
56565	220510
56567	220510
56569	220526
56571	220515
56575	220515
56578	220513
56580	220420
56582	220509
56584	220607
56585	220509
56586	220526
56592	220509
56594	220509
56595	220506
56598	220423
56643	220503
56645	220502
56646	220502
56649	220502
56651	220502
56652	220604
56654	220502
56664	220502
56665	220527
56666	220604
56669	220523
56670	220512
56671	220510
56673	220510
56674	220512
56675	220513
56684	220512
56688	220512
56691	220522
56693	220423
56697	220506
56739	220418
56742	220606
56745	220606
56746	220513
56748	220418
56751	220502
56752	220502
56755	220605
56756	220523
56757	220605
56761	220523
56763	220522
56764	220523
56766	220523
56767	220522
56768	220522
56772	220522
56774	220522
56775	220520
56777	220522
56778	220522
56781	220522
56782	220508
56783	220522
56785	220522
56786	220508
56788	220501
56790	220508
56792	220507
56793	220508
56835	220418
56836	220418
56838	220418
56839	220512
56840	220418
56841	220418
56842	220418
56843	220517
56844	220418
56846	220514
56849	220420
56851	220605
56854	220515
56856	220522
56862	220522
56863	220522
56867	220522
56869	220522
56870	220522
56871	220522
56872	220522
56873	220522
56875	220522
56876	220522
56878	220522
56879	220522
56880	220522
56881	220522
56882	220522
56883	220508
56885	220520
56886	220513
56889	220508
56891	220508
56898	220522
56944	220420
56946	220512
56948	220509
56949	220506
56950	220522
56951	220522
56952	220522
56954	220505
56958	220419
56959	220418
56961	220502
56962	220420
56964	220502
56966	220420
56969	220418
56970	220418
56973	220522
56975	220420
56977	220419
56978	220421
56982	220522
56984	220418
56985	220522
56986	220522
56987	220418
56991	220522
56992	220512
56994	220514
57204	220622
57206	220428
57208	220424
57216	220425
57217	220424
57237	220425
57303	220425
57304	220425
57306	220425
57307	220428
57308	220425
57309	220428
57313	220424
57314	220424
57315	220424
57317	220424
57320	220425
57324	220425
57333	220425
57401	220424
57402	220428
57405	220428
57407	220428
57408	220424
57411	220424
57502	220501
57503	220424
57505	220501
57507	220509
57800	220423
57805	220425
57806	220425
57807	220423
57808	220423
57809	220423
57814	220425
57818	220423
57900	220507
57902	220507
57903	220423
57905	220509
57906	220507
57907	220509
57908	220507
57909	220507
57910	220507
57912	220425
59007	220508
59205	220501
