Month	Day	Rain
01	01	0.9
01	02	1.1
01	03	1.6
01	04	1.2
01	05	1.3
01	06	0.8
01	07	0.7
01	08	1.6
01	09	4.6
01	10	1.3
01	11	1.2
01	12	1.1
01	13	1.3
01	14	1.2
01	15	0.8
01	16	0.8
01	17	1.2
01	18	1.2
01	19	1.0
01	20	1.1
01	21	1.0
01	22	1.1
01	23	1.0
01	24	1.2
01	25	0.8
01	26	1.0
01	27	1.1
01	28	0.8
01	29	0.8
01	30	1.5
01	31	1.3
02	01	1.3
02	02	1.2
02	03	1.0
02	04	1.0
02	05	0.8
02	06	1.0
02	07	1.0
02	08	1.0
02	09	1.1
02	10	0.9
02	11	0.7
02	12	0.8
02	13	0.9
02	14	1.2
02	15	1.1
02	16	1.3
02	17	1.7
02	18	1.7
02	19	1.1
02	20	1.2
02	21	1.2
02	22	1.6
02	23	1.4
02	24	1.3
02	25	1.3
02	26	1.4
02	27	1.5
02	28	1.2
03	01	1.2
03	02	1.4
03	03	1.4
03	04	1.2
03	05	1.2
03	06	1.5
03	07	1.4
03	08	1.5
03	09	1.4
03	10	1.0
03	11	1.2
03	12	1.5
03	13	1.0
03	14	1.1
03	15	1.3
03	16	1.6
03	17	1.7
03	18	1.4
03	19	1.6
03	20	1.5
03	21	1.9
03	22	1.9
03	23	2.2
03	24	2.3
03	25	2.1
03	26	2.3
03	27	2.8
03	28	2.0
03	29	2.1
03	30	2.4
03	31	2.5
04	01	3.0
04	02	2.4
04	03	1.9
04	04	2.3
04	05	2.2
04	06	2.1
04	07	2.2
04	08	2.2
04	09	2.2
04	10	2.6
04	11	2.1
04	12	2.3
04	13	2.5
04	14	2.0
04	15	1.8
04	16	2.1
04	17	2.4
04	18	2.7
04	19	2.3
04	20	2.6
04	21	3.1
04	22	2.6
04	23	3.5
04	24	3.8
04	25	3.4
04	26	2.4
04	27	2.5
04	28	3.2
04	29	2.6
04	30	2.9
05	01	3.5
05	02	3.2
05	03	3.8
05	04	3.2
05	05	3.3
05	06	3.4
05	07	3.8
05	08	3.9
05	09	3.5
05	10	3.4
05	11	3.7
05	12	3.4
05	13	4.0
05	14	3.6
05	15	4.3
05	16	4.0
05	17	4.1
05	18	4.4
05	19	3.9
05	20	4.6
05	21	4.8
05	22	4.6
05	23	4.6
05	24	4.7
05	25	4.5
05	26	4.9
05	27	4.8
05	28	5.0
05	29	4.9
05	30	5.3
05	31	5.5
06	01	5.2
06	02	5.4
06	03	4.6
06	04	5.3
06	05	5.6
06	06	6.2
06	07	5.9
06	08	5.9
06	09	6.6
06	10	6.7
06	11	6.8
06	12	7.2
06	13	5.9
06	14	6.3
06	15	6.5
06	16	7.1
06	17	7.1
06	18	6.9
06	19	6.9
06	20	7.2
06	21	7.1
06	22	7.0
06	23	7.1
06	24	7.8
06	25	7.7
06	26	8.1
06	27	8.5
06	28	8.0
06	29	8.9
06	30	9.4
07	01	8.7
07	02	8.3
07	03	9.0
07	04	9.4
07	05	8.6
07	06	8.7
07	07	8.6
07	08	9.1
07	09	9.3
07	10	9.1
07	11	7.9
07	12	7.4
07	13	8.4
07	14	8.5
07	15	9.0
07	16	9.0
07	17	8.4
07	18	9.2
07	19	9.2
07	20	8.3
07	21	9.2
07	22	9.6
07	23	8.4
07	24	7.7
07	25	8.6
07	26	7.5
07	27	7.3
07	28	8.0
07	29	8.2
07	30	7.2
07	31	8.6
08	01	8.9
08	02	7.7
