56483	2836	10357	412.9	 0.8	
56489	2814	10338	876.3	 0.8	
56497	2806	10414	433.3	 0.8	
56543	2750	9942	3277.6	 0.5	
56567	2718	10051	2242.3	 0.7	
56582	2745	10354	1177.0	 0.8	
56585	2711	10332	1916.0	 0.8	
56586	2721	10343	1950.0	 0.8	
56594	2738	10403	884.0	 0.8	
56595	2725	10452	1644.3	 0.8	
56643	2552	9851	950.6	 0.9	
56645	2625	9925	2345.9	 0.9	
56646	2632	9955	2193.5	 0.5	
56649	2606	9958	2059.9	 0.9	
56651	2651	10013	2382.1	 0.7	
56652	2641	10045	2131.0	 0.7	
56654	2635	10011	2196.8	 0.7	
56664	2638	10116	1230.8	 0.7	
56669	2603	10140	1534.1	 0.8	
56673	2655	10255	894.9	 0.8	
56684	2625	10317	2110.8	 0.7	
56688	2606	10310	1253.4	 0.7	
56697	2613	10405	1987.4	 0.7	
56739	2501	9830	1655.8	 0.9	
56742	2554	9922	1663.9	 0.9	
56745	2541	9957	1627.2	 0.9	
56746	2528	9931	1618.3	 0.9	
56748	2507	9911	1651.2	 0.9	
56751	2542	10011	1991.6	 0.8	
56752	2550	10034	1440.3	 0.8	
56755	2521	10029	1670.0	 0.8	
56756	2529	10035	1993.5	 0.8	
56757	2516	10017	1744.0	 0.8	
56761	2543	10119	1873.7	 0.8	
56763	2544	10152	1120.8	 0.8	
56764	2532	10114	1875.2	 0.8	
56766	2520	10131	1769.3	 0.8	
56767	2511	10117	1858.3	 0.8	
56768	2502	10133	1820.9	 0.8	
56772	2514	10230	1694.4	 0.8	
56774	2532	10225	1712.0	 0.8	
56775	2533	10227	1752.1	 0.8	
56777	2509	10204	1566.8	 0.8	
56778	2500	10239	1889.1	 0.8	
56781	2533	10316	1874.1	 0.7	
56782	2525	10333	2064.8	 0.7	
56783	2530	10348	1906.3	 0.7	
56785	2520	10302	1925.5	 0.7	
56786	2535	10350	1900.1	 0.7	
56788	2502	10340	1842.0	 0.7	
56790	2541	10415	1920.5	 0.7	
56835	2404	9749	958.7	 1.5	
56836	2442	9757	828.1	 0.9	
56838	2400	9751	763.3	 0.9	
56839	2346	9849	994.5	 1.1	
56840	2449	9818	1013.7	 0.9	
56841	2436	9841	1527.6	 0.9	
56842	2444	9911	1473.4	 0.9	
56843	2450	9937	1650.2	 0.9	
56844	2426	9835	915.0	 0.9	
56846	2435	9956	1569.8	 0.9	
56849	2402	9914	1607.2	 0.9	
56851	2502	10031	1378.6	 0.8	
56854	2427	10008	1108.1	 0.8	
56856	2428	10052	1163.5	 0.8	
56862	2441	10136	1966.0	 0.8	
56863	2456	10229	1850.0	 0.8	
56867	2359	10107	1107.2	 0.9	
56869	2404	10158	1498.2	 0.8	
56870	2440	10210	1576.3	 0.8	
56871	2439	10236	1894.2	 0.8	
56872	2457	10237	2360.0	 0.8	
56873	2441	10255	1788.5	 0.7	
56875	2420	10233	1717.5	 0.8	
56876	2417	10246	1732.5	 0.8	
56878	2408	10245	1802.4	 0.8	
56879	2412	10255	1610.3	 0.7	
56880	2455	10310	1532.9	 0.7	
56881	2445	10316	1694.7	 0.7	
56882	2453	10248	1909.2	 0.8	
56883	2450	10359	1846.2	 0.7	
56885	2424	10327	1416.7	 0.7	
56886	2432	10346	1705.5	 0.7	
56889	2403	10410	1518.5	 0.7	
56891	2459	10419	1482.4	 0.7	
56898	2411	10224	1542.8	 0.8	
56944	2309	9916	1280.7	 1.1	
56946	2333	9924	1104.8	 1.1	
56948	2238	9936	1156.1	 1.1	
56949	2219	9936	946.1	 1.1	
56950	2328	9948	1044.0	 1.1	
56951	2353	10005	1502.6	 0.9	
56952	2330	10042	914.0	 0.9	
56954	2234	9956	1054.4	 1.1	
56958	2155	10025	1177.5	 0.9	
56959	2200	10047	583.0	 0.9	
56961	2302	10103	1321.3	 0.9	
56962	2325	10140	1315.3	 0.9	
56964	2247	10058	1302.9	 0.9	
56966	2336	10159	401.6	 0.9	
56969	2129	10134	632.9	 0.9	
56970	2342	10229	1419.9	 0.9	
56973	2337	10250	1310.0	 0.8	
56975	2322	10226	975.9	 0.9	
56977	2235	10151	1121.0	 0.9	
56978	2300	10225	1640.7	 0.9	
56982	2342	10315	1055.8	 0.8	
56984	2323	10309	1717.7	 0.8	
56985	2323	10323	1301.9	 0.8	
56986	2259	10341	1412.1	 0.8	
56987	2247	10314	1261.1	 0.8	
56991	2337	10420	1561.1	 0.8	
56992	2327	10442	1508.1	 0.8	
56994	2323	10415	1277.1	 0.8	
59007	2404	10504	1251.4	 0.8	
59205	2339	10538	688.3	 0.9	
56598	2708	10444	1538.1	 0.8	
56691	2652	10417	2238.6	 0.8	
56693	2635	10452	1817.2	 0.8	
56792	2547	10458	1648.5	 0.7	
56793	2543	10428	1796.0	 0.7	
57800	2646	10522	1458.6	 0.7	
57805	2641	10546	1320.8	 0.7	
57806	2615	10554	1430.5	 0.8	
57807	2612	10528	1363.2	 0.8	
57808	2619	10545	1275.7	 0.8	
57809	2604	10545	1252.0	 0.8	
57814	2625	10616	1299.2	 0.8	
57818	2602	10627	1141.1	 0.8	
57900	2550	10513	1553.6	 0.8	
57902	2526	10511	1379.3	 0.8	
57903	2556	10536	1138.4	 0.8	
57905	2524	10538	1063.8	 0.8	
57906	2511	10605	567.0	 0.8	
57907	2505	10454	1300.7	 0.7	
57908	2507	10529	1393.5	 0.8	
57909	2459	10549	584.8	 0.8	
57910	2546	10605	1198.8	 0.8	
57912	2608	10638	992.1	 0.8	
56038	3259	9806	4201.0	 0.4	
56079	3335	10258	3442.6	 0.5	
56097	3316	10414	1408.0	 0.5	
56144	3148	9835	3185.0	 0.4	
56146	3137	10000	3394.6	 0.5	
56147	3113	9850	3261.3	 0.5	
56152	3217	10020	3895.8	 0.5	
56158	3124	10040	3251.4	 0.6	
56164	3216	10059	3286.0	 0.5	
56167	3059	10107	2959.2	 0.6	
56168	3129	10204	2170.1	 0.5	
56171	3254	10142	3276.3	 0.5	
56172	3154	10214	2666.3	 0.5	
56173	3248	10233	3492.8	 0.5	
56178	3100	10221	2368.6	 0.6	
56181	3041	10342	543.3	 0.7	
56182	3239	10334	2852.1	 0.5	
